TIMESTAMP,CO2_1_1_1,H2O_1_1_1,CH4_1_1_1,TAU_1_1_1,TAU_SSITC_TEST_1_1_1,H_1_1_1,H_SSITC_TEST_1_1_1,LE_1_1_1,LE_SSITC_TEST_1_1_1,FC_1_1_1,FC_SSITC_TEST_1_1_1,FCH4_1_1_1,FCH4_SSITC_TEST_1_1_1,WD_0_0_1,WS_0_0_1,WS_MAX_0_0_1,U_SIGMA_0_0_1,V_SIGMA_0_0_1,W_SIGMA_0_0_1,USTAR_0_0_1,MO_LENGTH_0_0_1,ZL_0_0_1,FETCH_MAX_0_0_1,FETCH_70_0_0_1,FETCH_80_0_0_1,FETCH_90_0_0_1,PA_0_0_1,RH_0_0_1,TA_0_0_1,VPD_0_0_1,T_SONIC_0_0_1,T_SONIC_SIGMA_0_0_1
[yyyymmddHHMMSS],[mmolCO2 mol-1],[mmolH2O mol-1],[nmolCH4 mol-1],[kg m-1 s-2],[#],[W m-2],[#],[W m-2],[#],[umolCO2 m-2 s-1],[#],[nmolCH4 m-2 s-1],[#],[Decimal degrees],[m s-1],[m s-1],[m s-1],[m s-1],[m s-1],[m s-1],[m],[#],[m],[m],[m],[m],[kPa],[%],[deg C],[hPa],[deg C],[deg C]
20170907233000,384.93254193779472,8.6366395028329581,-9999000.0000000000,0.13853368872746505,0,11.450049273740298,0,-1.0821626759824949,1,8.4128984940359169E-002,1,-9999000.0000000000,-9999.,29.870021137024015,4.6002797610043249,7.2408988809630257,0.89512510623466457,0.66513995785315672,0.38984249672911375,0.33343347434089599,-281.90830540122732,1.3585977875142537E-002,-9999.,-9999.,-9999.,-9999.,99.810432068576404,98.845036549188237,5.0025603210618215,0.10047504575940051,5.7651827629937316,0.13214824797247582
20170908000000,384.85980109740132,8.5769928959877486,-9999000.0000000000,0.12666085770136207,0,15.510047269829295,0,-0.29763905203829177,1,-5.5624211378672878E-002,1,-9999000.0000000000,-9999.,27.710299412029947,4.7305759085339902,8.1942706418558000,0.88340402418520880,0.67307359663080846,0.39792898162806339,0.31858070750012413,-181.56423156632530,2.1094463193323976E-002,-9999.,-9999.,-9999.,-9999.,99.843931313585074,100.00000000000000,4.6754652372499095,0.0000000000000000,5.4319275648329040,0.15761015145135970
20170908003000,384.96185705889548,8.5941141795054534,-9999000.0000000000,0.16638855371118752,0,13.655082665264212,1,-0.24179077240400998,0,-0.20504278874092960,1,-9999000.0000000000,-9999.,32.511245656698094,4.3676676596291388,7.4640710370437393,0.84015443459021688,0.64933215027466784,0.37859752264618968,0.36648554679988804,-314.04070133358641,1.2195871375066197E-002,-9999.,-9999.,-9999.,-9999.,99.878996672743057,86.776139933121570,6.8225757489263401,1.3048578419273134,7.5864067018296737,0.18146295532195220
20170908010000,384.93982812048000,8.5763493097304586,-9999000.0000000000,0.12712086945366299,0,-3.5524765508695118,0,-0.16755897396359129,1,5.2346680510369767E-002,2,-9999000.0000000000,-9999.,32.328263397190668,4.0959409517164600,7.4154366569607948,0.87117261875789254,0.63268882108459923,0.34845069779306037,0.32021758575643822,805.45171274053666,-4.7550957300326376E-003,-9999.,-9999.,-9999.,-9999.,99.920035603732643,87.154236874988726,6.7352717725745492,1.2599662020844340,7.4972853232490024,5.5355082760431447E-002
20170908013000,384.75319862050020,8.5989367165963166,-9999000.0000000000,0.14329584329831874,0,-5.0876405858527649,0,0.58730090395969803,2,2.6178990520749509E-002,2,-9999000.0000000000,-9999.,34.240283473867372,4.2876716411620421,7.1791796809496651,0.80841207007629068,0.61382559428195949,0.39124011929978902,0.33995162409687013,673.11035343754827,-5.6900031034143803E-003,-9999.,-9999.,-9999.,-9999.,99.956804411458336,87.093533217759884,6.7889244226496430,1.2705972172664346,7.5530923512777122,5.9457012389341216E-002
20170908020000,384.67338523964531,8.6169636838904911,-9999000.0000000000,0.10961091094179917,0,-14.964852753865314,1,-0.39719937684073708,1,-3.8644390359953554E-002,1,-9999000.0000000000,-9999.,32.763394921692338,4.1885291603941939,6.9430960744471406,0.78205765662814142,0.67143729920134043,0.34708693761654730,0.29713142274086479,152.84350589351934,-2.5058310312956477E-002,-9999.,-9999.,-9999.,-9999.,99.996381922743055,88.826031470591730,6.5387529587368363,1.0812660457109666,7.3038393724229422,0.88740130065224909
20170908023000,384.52213254961481,8.5899277135329140,-9999000.0000000000,0.10287530739794573,0,-11.225695649660530,0,-0.18091046649392981,0,-5.4526161053986534E-002,0,-9999000.0000000000,-9999.,29.582166644272096,3.7819004485461352,6.8074291524500801,0.76005103542841923,0.58714451130531498,0.33651911092182879,0.28718672112469484,184.01624457495740,-2.0813379866796943E-002,-9999.,-9999.,-9999.,-9999.,100.03274472222223,96.234241478772176,5.3412133330544975,0.33541702724415351,6.1006324768066520,9.9361781037200197E-002
20170908030000,384.51040431565974,8.5315678995688433,-9999000.0000000000,8.5536060387421467E-002,0,-6.9044006609163437,0,-9.2440329774885990E-002,1,8.8705099601686085E-002,1,-9999000.0000000000,-9999.,31.601826933484574,3.5965777112744348,6.2835455794454393,0.79312577728392764,0.54285972555899686,0.31192520844422639,0.26191882590963600,227.02434217386124,-1.6870437607377296E-002,-9999.,-9999.,-9999.,-9999.,100.07298844444445,94.136913497028559,5.5662705867786144,0.53045764262467265,6.3211372002496091,6.6226163531680107E-002
20170908033000,384.41125512742235,8.4945773686366159,-9999000.0000000000,6.0373475835657678E-002,0,-4.1341327637572292,0,0.13278642995402362,2,-6.0606389201821396E-002,1,-9999000.0000000000,-9999.,31.265682797000455,3.7268916461610426,5.8888560095412430,0.68359079303420922,0.52619776481868241,0.30998660505813891,0.22009327025853978,225.00746620582663,-1.7021657390232953E-002,-9999.,-9999.,-9999.,-9999.,100.09374966666667,92.590493459984671,5.7455633082020654,0.67875865723549467,6.4976388770209610,5.0665380075188331E-002
20170908040000,384.27852187067481,8.4548823816856800,-9999000.0000000000,0.12099872896242132,0,-4.9867998088263006,0,-0.34676695286433940,0,-3.7697993489699808E-002,0,-9999000.0000000000,-9999.,27.956365246618283,3.9465505874033364,6.5323584011542364,0.74192534111695763,0.60981122517387276,0.35886550930794014,0.31182873294899932,530.63799803252368,-7.2177266124942166E-003,-9999.,-9999.,-9999.,-9999.,100.12928325000000,88.793545237475001,6.2885593727823448,1.0658713131263438,7.0385761684841555,0.10106894831188022
