Sitename:Mackenzie2017
Location: Latitude:   69.3723145 - Longitude: -134.8810730 - Elevation (masl):    -3.
Principal investigator: 
Ecosystem type: 
File creation date: 2020-08-20T12:11
Datapolicy:  -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data.
In addition when publishing please acknowledge the agency that supported the research. --
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
YEAR,GAP,DTIME,DOY,HRMIN,UST,TA,WD,WS,NEE,FC,SFC,H,SH,LE,SLE,FG,TS1,TSdepth1,TS2,TSdepth2,PREC,RH,PRESS,CO2,VPD,SWC1,SWC2,Rn,PAR,Rg,Rgdif,PARout,RgOut,Rgl,RglOut,H2O,RE,GPP,CO2top,CO2height,APAR,PARdif,APARpct,ZL
YEAR,GAP,DTIME,DOY,HRMIN,m/s,deg C,deg,m/s,umol/m2/s,umol/m2/s,umol/m2/s,W/m2,W/m2,W/m2,W/m2,W/m2,deg C,cm,deg C,cm,mm,%,kPa,umol/mol,kPa,%,%,W/m2,umol/m2/s,W/m2,W/m2,umol/m2/s,W/m2,W/m2,W/m2,mmol/mol,umol/m2/s,umol/m2/s,umol/mol,m,umol/m2/s,umol/m2/s,%,unitless
 2017,0,194.02082999999999,194,030,0.20456371779711208,9.4340621999104997,53.223004305204832,2.8125851816838043,-0.39377320647203118,-0.42781844956563847,3.4045243093607271E-002,-14.068340269695293,-1.2785828795343213,2.9007259795286928,0.81385084148700892,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,66.282362517917136,102.40953177777779,394.29184916263961,0.39741272287718266,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.6265083396923430,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-7.0980565745440316E-002
 2017,0,194.04166000000001,194,100,0.16640310699525740,8.5596530134413342,47.657786617724838,2.2572178234803313,-6.4833740784397020E-002,-8.6213534934727581E-002,2.1379794150330561E-002,-19.034395559988120,-1.7772832481987033,-0.16551622581407266,0.84300670038787762,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,72.816226470827402,102.40830372222221,394.59959101789241,0.30203204768968406,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.8980485795361446,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.17841362691203178
 2017,0,194.06249000000000,194,130,0.12950872094666002,7.9809864078098371,50.335594099298795,2.0861196753090350,0.14143218003928532,9.9736635302556650E-002,4.1695544736728679E-002,-17.147284890144100,-1.1784735736181438,-1.6297638724353887,0.51975180472899063,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,77.327180077643632,102.39619922222222,395.19859681301352,0.24220365263893653,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,8.0650489318264320,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.34095760628269894
 2017,0,194.08331999999999,194,200,0.12696004040224046,7.2613452809652017,50.629230175226901,2.1179695945708308,0.39235773440476801,0.31226400925943859,8.0093725145329406E-002,-20.392087813416502,-1.4691103330844948,-1.9889114457347306,-0.31275167700492740,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,80.202496147827375,102.38357563888889,396.34643395445130,0.20134840016507477,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.9648730872794200,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.43044078108296058
 2017,0,194.10415000000000,194,230,0.10438635471050545,6.4922565773858310,48.206869830739130,2.0377715895006423,0.44399528723393850,0.35020087052957077,9.3794416704367736E-002,-19.292680511235741,-1.5743372977761347,-2.5095210018555125,-9.6487661498353541E-002,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,84.225571321405425,102.38307033333334,397.68693799618296,0.15217755263534513,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.9340748540297747,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.73269547155348558
 2017,0,194.12497999999999,194,300,6.2762502943432663E-002,6.1790913933648426,53.644174340394109,1.5663019385901757,0.31669993215557390,0.24020615527149367,7.6493776884080211E-002,-9.1311996429048854,-0.64180178786290509,-0.96230043165156642,0.55950982613925981,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,88.001142976297430,102.38509350000001,398.77893647746890,0.11328037163987353,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,8.1124099517408208,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-1.5954095638358854
 2017,0,194.14581000000001,194,330,0.11017699976915923,6.3674272443983568,45.420014344932873,2.1129276780680248,0.54761220518987630,0.52031088276642212,2.7301322423454222E-002,-19.161920406477620,0.38579492356565920,-2.0027705016813115,0.11607439642006809,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,87.278092953254827,102.40507730555557,399.16886730966513,0.12167804926552934,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,8.1494312379216680,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.61879497986714771
 2017,0,194.16664000000000,194,400,9.3080159770383669E-002,6.3507289242214711,44.886135021629237,1.9528085254242702,0.43001564047926721,0.41821537949390714,1.1800260985360063E-002,-14.586656683473615,-3.4206591127871770E-002,-1.3672644283269879,0.33615537569385434,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,88.524082150608422,102.40031516666667,399.33740217421774,0.10963450955332546,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,8.2566430074992478,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.78121692450316871
 2017,0,194.18746999999999,194,430,5.4830529887555074E-002,6.2896374155679950,57.329611503335705,1.5816376407734332,0.19084280692734726,0.21817238003748332,-2.7329573110136063E-002,-5.7375389995672608,-0.12518467631426836,-1.2938374325453743,1.1801240353272764,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,92.951587269786771,102.40292722222222,398.94716828882815,6.7053383120454668E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,8.6329122708772967,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-1.5031778231545887
 2017,0,194.20830000000001,194,500,7.2070299137731580E-002,6.8815810716417332,67.512849078783916,1.7281383658503253,-4.3359195020975558E-002,5.6793975377664188E-002,-0.10015317039863975,-7.2400551359607785,1.2104471026348800,-0.65471366070147308,0.90050405358828511,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,92.213391897402545,102.40028338888889,397.51403346948001,7.7157127882716919E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,8.9208059987832780,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.83523292019682405
